day,outcome,daily_mean,patient_count
0,0.0,4.057032967032967,91
1,0.0,4.223989361702127,94
2,0.0,4.827,10
3,0.0,4.368823529411764,17
4,0.0,4.1575,24
5,0.0,4.2716666666666665,24
6,0.0,4.308275862068966,29
7,0.0,4.394074074074074,27
8,0.0,4.4944444444444445,18
9,0.0,4.4765,20
10,0.0,4.426206896551724,29
11,0.0,4.2675,16
12,0.0,4.324545454545454,11
13,0.0,4.418947368421052,19
14,0.0,4.375,10
15,0.0,4.538,10
16,0.0,4.4275,8
17,0.0,4.68,10
18,0.0,4.4925,4
19,0.0,4.525,2
22,0.0,4.6,1
0,1.0,4.321666666666666,78
1,1.0,4.440949367088607,79
2,1.0,4.839418604651163,43
3,1.0,4.888623188405797,46
4,1.0,4.7704054054054055,37
5,1.0,4.849148936170213,47
6,1.0,5.014375,32
7,1.0,4.763125,24
8,1.0,4.544705882352941,17
9,1.0,4.840909090909091,22
10,1.0,5.315833333333333,12
11,1.0,4.9704999999999995,10
12,1.0,5.1655,10
13,1.0,4.84375,8
14,1.0,3.9524999999999997,4
15,1.0,4.58,1
16,1.0,4.743333333333333,3
17,1.0,4.76,2
18,1.0,3.36,1
