split,outcome,day,daily_mean,patient_count
held_out,0.0,0,4.060666666666667,15
held_out,0.0,1,4.183529411764706,17
held_out,0.0,2,4.43,1
held_out,0.0,4,4.3275,4
held_out,0.0,5,4.04,2
held_out,0.0,6,4.175714285714286,7
held_out,0.0,7,4.212000000000001,5
held_out,0.0,8,4.5649999999999995,2
held_out,0.0,9,4.866666666666667,3
held_out,0.0,10,4.09,4
held_out,0.0,11,4.336666666666667,3
held_out,0.0,12,3.65,1
held_out,0.0,13,4.053333333333334,3
held_out,0.0,14,3.74,1
held_out,0.0,15,4.37,2
held_out,0.0,16,4.61,1
held_out,0.0,17,4.77,2
held_out,0.0,18,3.64,1
held_out,1.0,0,4.13375,8
held_out,1.0,1,4.873636363636364,11
held_out,1.0,2,4.7988888888888885,9
held_out,1.0,3,4.514285714285714,7
held_out,1.0,4,4.385,10
held_out,1.0,5,4.056,5
held_out,1.0,6,3.7399999999999998,3
held_out,1.0,7,4.595,4
held_out,1.0,8,4.715,2
held_out,1.0,9,4.975,2
held_out,1.0,10,7.03,1
held_out,1.0,11,7.13,1
held_out,1.0,12,6.07,1
train,0.0,0,4.054833333333333,60
train,0.0,1,4.241532258064517,62
train,0.0,2,5.104285714285715,7
train,0.0,3,4.385,16
train,0.0,4,4.104117647058823,17
train,0.0,5,4.307647058823529,17
train,0.0,6,4.38,14
train,0.0,7,4.489047619047619,21
train,0.0,8,4.4678571428571425,14
train,0.0,9,4.434285714285714,14
train,0.0,10,4.448888888888889,18
train,0.0,11,4.20375,8
train,0.0,12,4.45625,8
train,0.0,13,4.430000000000001,13
train,0.0,14,4.56625,8
train,0.0,15,4.385,4
train,0.0,16,4.401428571428572,7
train,0.0,17,4.6575,8
train,0.0,18,4.776666666666666,3
train,0.0,19,4.525,2
train,0.0,22,4.6,1
train,1.0,0,4.275267857142857,56
train,1.0,1,4.349568965517242,58
train,1.0,2,4.867222222222222,27
train,1.0,3,4.9750000000000005,33
train,1.0,4,5.0425,22
train,1.0,5,4.9653846153846155,39
train,1.0,6,5.115185185185185,27
train,1.0,7,4.9728125,16
train,1.0,8,4.669,10
train,1.0,9,4.7952941176470585,17
train,1.0,10,5.08,10
train,1.0,11,4.7143749999999995,8
train,1.0,12,5.031875,8
train,1.0,13,4.84375,8
train,1.0,14,3.9524999999999997,4
train,1.0,15,4.58,1
train,1.0,16,4.743333333333333,3
train,1.0,17,4.76,2
train,1.0,18,3.36,1
tuning,0.0,0,4.061875,16
tuning,0.0,1,4.197333333333334,15
tuning,0.0,2,4.055,2
tuning,0.0,3,4.11,1
tuning,0.0,4,4.233333333333333,3
tuning,0.0,5,4.242,5
tuning,0.0,6,4.29875,8
tuning,0.0,7,3.31,1
tuning,0.0,8,4.609999999999999,2
tuning,0.0,9,4.283333333333333,3
tuning,0.0,10,4.5600000000000005,7
tuning,0.0,11,4.328,5
tuning,0.0,12,4.135,2
tuning,0.0,13,4.736666666666667,3
tuning,0.0,14,3.48,1
tuning,0.0,15,4.775,4
tuning,1.0,0,4.614642857142857,14
tuning,1.0,1,4.495,10
tuning,1.0,2,4.784285714285715,7
tuning,1.0,3,4.8502777777777775,6
tuning,1.0,4,4.343999999999999,5
tuning,1.0,5,4.66,3
tuning,1.0,6,5.5649999999999995,2
tuning,1.0,7,4.0925,4
tuning,1.0,8,4.228,5
tuning,1.0,9,5.010000000000001,3
tuning,1.0,10,5.96,1
tuning,1.0,11,4.86,1
tuning,1.0,12,5.33,1
