day,outcome,daily_mean,patient_count
0,0.0,6.097150537634408,93
1,0.0,15.964385964912282,114
2,0.0,6.138235294117647,17
3,0.0,7.2540000000000004,20
4,0.0,4.9936,25
5,0.0,6.0516,25
6,0.0,18.729,30
7,0.0,6.642142857142857,28
8,0.0,5.544736842105263,19
9,0.0,7.409090909090909,22
10,0.0,8.309696969696969,33
11,0.0,6.7219444444444445,18
12,0.0,29.589705882352945,17
13,0.0,23.314000000000007,25
14,0.0,7.83,16
15,0.0,115.34441176470588,17
16,0.0,25.147142857142857,14
17,0.0,6.838181818181818,11
18,0.0,9.940999999999999,5
19,0.0,8.7375,4
20,0.0,41.31357142857143,7
21,0.0,12.2,1
22,0.0,9.86,1
0,1.0,11.569756097560976,82
1,1.0,14.827621951219513,82
2,1.0,14.398714285714286,35
3,1.0,13.179878048780488,41
4,1.0,12.870250000000002,40
5,1.0,22.730760869565216,46
6,1.0,13.086666666666668,30
7,1.0,10.794130434782609,23
8,1.0,11.59875,16
9,1.0,14.456507936507938,21
10,1.0,15.456,10
11,1.0,15.653333333333332,9
12,1.0,13.954285714285716,7
13,1.0,23.590625,8
14,1.0,14.9775,4
15,1.0,12.745,2
16,1.0,19.726666666666667,3
17,1.0,9.870000000000001,2
18,1.0,21.5,1
