split,day,daily_mean,subject_count
held_out,0,18.191668,10
held_out,1,14.3,5
held_out,2,16.4,5
held_out,3,16.5,5
held_out,4,19.4,5
held_out,5,16.333334,3
held_out,6,15.633334,5
held_out,7,14.6,5
held_out,8,18.4,5
held_out,9,21.0,5
held_out,10,16.5,4
held_out,11,14.5,3
held_out,12,13.0,1
held_out,13,27.0,1
held_out,16,18.0,1
held_out,18,27.0,2
held_out,19,20.0,1
held_out,20,13.0,1
held_out,21,10.0,1
held_out,25,8.333333,1
held_out,26,4.0,1
held_out,27,5.0,1
held_out,28,6.0,1
held_out,29,3.0,1
held_out,30,4.0,1
held_out,31,3.0,1
held_out,32,4.0,1
held_out,38,15.0,1
held_out,40,12.0,1
held_out,54,33.0,1
held_out,381,29.5,1
held_out,428,33.0,1
held_out,429,24.0,1
held_out,494,17.0,1
held_out,549,24.0,1
held_out,600,17.0,1
held_out,601,12.0,1
held_out,602,15.0,1
held_out,603,22.0,1
held_out,604,17.0,1
held_out,606,16.0,1
held_out,607,13.0,1
held_out,608,10.0,1
held_out,827,22.0,1
held_out,944,20.0,1
train,0,21.678473,72
train,1,21.557144,49
train,2,21.33712,44
train,3,22.589743,39
train,4,24.211712,37
train,5,22.983871,31
train,6,24.635803,27
train,7,24.958334,24
train,8,27.309525,21
train,9,29.67647,17
train,10,33.22619,14
train,11,35.363636,11
train,12,33.636364,11
train,13,31.35,10
train,14,31.714285,7
train,15,26.142857,7
train,16,23.1875,8
train,17,23.0,8
train,18,29.6,5
train,19,26.833334,6
train,20,26.5,6
train,21,31.375,4
train,22,26.5,4
train,23,22.75,4
train,24,22.25,4
train,25,10.25,4
train,26,11.9,5
train,27,13.2,5
train,28,14.958333,6
train,29,14.625,4
train,30,22.866667,5
train,31,21.9,5
train,32,23.083334,6
train,33,33.125,4
train,34,27.071428,7
train,35,30.916666,6
train,36,45.625,4
train,37,50.625,4
train,38,55.416668,4
train,39,60.125,4
train,40,71.83333,5
train,41,52.15,5
train,42,61.285713,2
train,43,37.166668,3
train,44,33.444443,3
train,45,25.958332,4
train,46,34.666668,2
train,47,30.666666,3
train,48,46.5,1
train,49,26.75,2
train,50,63.0,1
train,51,79.0,1
train,52,63.25,2
train,53,50.0,2
train,54,39.0,5
train,55,30.666666,3
train,56,21.0,3
train,57,29.333334,3
train,58,32.666668,3
train,59,21.333334,3
train,60,29.333334,3
train,61,22.333334,3
train,62,10.666667,3
train,63,6.0,1
train,64,3.0,1
train,66,13.666667,3
train,69,10.0,1
train,70,11.0,1
train,71,15.0,2
train,72,39.25,2
train,73,18.0,1
train,76,14.0,1
train,77,13.0,1
train,78,11.0,2
train,79,12.5,2
train,80,14.5,2
train,81,15.0,3
train,82,11.5,2
train,83,14.166667,3
train,84,13.666667,3
train,85,15.0,2
train,86,15.833333,3
train,87,23.0,1
train,88,21.0,1
train,89,21.0,1
train,90,17.0,4
train,91,11.0,2
train,92,10.0,2
train,93,8.5,2
train,94,9.0,2
train,95,15.333333,3
train,96,7.5,2
train,97,8.0,2
train,98,7.5,2
train,99,10.333333,3
train,100,8.5,2
train,101,10.5,4
train,102,7.0,1
train,103,9.0,1
train,104,13.5,2
train,105,9.0,1
train,106,17.0,2
train,107,10.0,1
train,108,11.0,1
train,109,26.0,1
train,110,10.0,1
train,111,22.5,2
train,112,12.0,2
train,113,16.0,2
train,114,16.0,2
train,115,13.0,3
train,117,10.0,3
train,118,15.0,2
train,119,17.0,1
train,121,49.0,1
train,122,27.25,2
train,123,35.0,1
train,124,12.5,1
train,125,21.833334,3
train,126,35.75,2
train,127,23.5,1
train,128,17.0,1
train,129,16.5,2
train,130,30.75,2
train,131,32.083336,2
train,132,27.0,3
train,133,36.5,2
train,134,58.0,1
train,135,50.0,2
train,136,27.25,2
train,139,17.0,2
train,140,61.0,1
train,143,23.0,1
train,148,16.0,1
train,149,13.5,2
train,150,14.5,2
train,151,9.0,1
train,152,8.25,2
train,153,9.25,2
train,154,13.5,2
train,155,15.25,2
train,156,14.75,2
train,157,17.333334,3
train,158,12.333333,3
train,159,13.0,2
train,160,14.0,2
train,161,14.0,1
train,162,14.0,1
train,164,20.0,3
train,165,8.0,1
train,168,11.0,1
train,169,9.5,1
train,170,9.0,1
train,171,23.0,1
train,174,11.0,2
train,178,19.0,1
train,179,8.0,1
train,181,12.0,1
train,185,23.0,1
train,188,12.0,1
train,191,13.5,1
train,192,9.0,1
train,193,17.0,1
train,199,25.0,1
train,200,9.0,1
train,201,10.0,1
train,202,11.0,1
train,203,12.0,1
train,204,12.0,1
train,206,11.0,1
train,208,52.0,1
train,209,47.5,1
train,210,40.0,1
train,211,50.0,1
train,212,42.0,1
train,213,18.5,2
train,223,12.666667,3
train,225,15.0,1
train,226,13.0,2
train,227,14.5,2
train,228,16.5,3
train,229,21.0,2
train,230,20.0,3
train,231,13.75,2
train,232,16.75,2
train,233,15.0,1
train,234,14.0,1
train,235,15.0,1
