split,outcome,day,daily_mean,patient_count
held_out,0.0,0,5.394666666666667,15
held_out,0.0,1,6.590833333333333,18
held_out,0.0,2,4.0600000000000005,2
held_out,0.0,3,4.69,1
held_out,0.0,4,3.64,4
held_out,0.0,5,5.385,2
held_out,0.0,6,6.4799999999999995,6
held_out,0.0,7,6.161666666666666,6
held_out,0.0,8,4.675,2
held_out,0.0,9,5.375,3
held_out,0.0,10,6.0024999999999995,4
held_out,0.0,11,9.293333333333335,3
held_out,0.0,12,23.46,2
held_out,0.0,13,7.46,4
held_out,0.0,14,9.446666666666667,3
held_out,0.0,15,7.1899999999999995,2
held_out,0.0,16,6.9,2
held_out,0.0,17,8.38,3
held_out,0.0,18,12.385,1
held_out,0.0,20,9.55,2
held_out,1.0,0,8.3475,8
held_out,1.0,1,11.307727272727274,11
held_out,1.0,2,12.495,8
held_out,1.0,3,19.15,5
held_out,1.0,4,17.256875,8
held_out,1.0,5,10.682500000000001,4
held_out,1.0,6,7.6775,4
held_out,1.0,7,8.265,4
held_out,1.0,8,10.796666666666667,3
held_out,1.0,9,10.86,2
held_out,1.0,10,16.78,1
held_out,1.0,11,13.68,1
held_out,1.0,12,16.39,1
train,0.0,0,6.438253968253968,63
train,0.0,1,11.48125,76
train,0.0,2,6.643846153846154,13
train,0.0,3,7.36,16
train,0.0,4,5.409411764705882,17
train,0.0,5,6.515294117647059,17
train,0.0,6,27.811176470588236,17
train,0.0,7,6.824285714285715,21
train,0.0,8,5.574,15
train,0.0,9,7.7275,16
train,0.0,10,8.4205,20
train,0.0,11,6.395,8
train,0.0,12,40.10227272727273,11
train,0.0,13,29.40555555555556,18
train,0.0,14,6.99,11
train,0.0,15,237.67999999999998,8
train,0.0,16,10.895555555555555,9
train,0.0,17,6.26,8
train,0.0,18,5.03,3
train,0.0,19,3.516666666666667,3
train,0.0,20,64.75,4
train,0.0,21,12.2,1
train,0.0,22,9.86,1
train,1.0,0,11.240416666666667,60
train,1.0,1,16.138709677419357,62
train,1.0,2,13.748249999999999,20
train,1.0,3,11.94390625,32
train,1.0,4,12.24611111111111,27
train,1.0,5,16.92275,40
train,1.0,6,13.859166666666667,24
train,1.0,7,10.6696875,16
train,1.0,8,9.55,8
train,1.0,9,14.846875,16
train,1.0,10,14.07625,8
train,1.0,11,15.464285714285714,7
train,1.0,12,14.66,5
train,1.0,13,23.590625,8
train,1.0,14,14.9775,4
train,1.0,15,12.745,2
train,1.0,16,19.726666666666667,3
train,1.0,17,9.870000000000001,2
train,1.0,18,21.5,1
tuning,0.0,0,5.367,15
tuning,0.0,1,41.43650000000001,20
tuning,0.0,2,4.93,2
tuning,0.0,3,7.543333333333333,3
tuning,0.0,4,4.58,4
tuning,0.0,5,4.96,6
tuning,0.0,6,7.171428571428572,7
tuning,0.0,7,5.7,1
tuning,0.0,8,6.195,2
tuning,0.0,9,7.745,3
tuning,0.0,10,9.088888888888889,9
tuning,0.0,11,5.993571428571428,7
tuning,0.0,12,3.745,4
tuning,0.0,13,7.903333333333332,3
tuning,0.0,14,10.025,2
tuning,0.0,15,6.433571428571428,7
tuning,0.0,16,80.06666666666668,3
tuning,0.0,18,22.23,1
tuning,0.0,19,24.4,1
tuning,0.0,20,11.095,1
tuning,1.0,0,14.822500000000002,14
tuning,1.0,1,10.097777777777777,9
tuning,1.0,2,18.43285714285714,7
tuning,1.0,3,15.605,4
tuning,1.0,4,9.222,5
tuning,1.0,5,162.98749999999998,2
tuning,1.0,6,14.635000000000002,2
tuning,1.0,7,14.83,3
tuning,1.0,8,15.358,5
tuning,1.0,9,14.772222222222224,3
tuning,1.0,10,25.17,1
tuning,1.0,11,18.95,1
tuning,1.0,12,7.99,1
