split,outcome,day,daily_mean,patient_count
held_out,0.0,0,66.2,15
held_out,0.0,1,59.64705882352941,17
held_out,0.0,2,83.0,1
held_out,0.0,4,69.5,2
held_out,0.0,5,68.0,2
held_out,0.0,6,59.333333333333336,6
held_out,0.0,7,78.4,5
held_out,0.0,8,62.0,2
held_out,0.0,9,68.33333333333333,3
held_out,0.0,10,58.75,4
held_out,0.0,11,63.0,3
held_out,0.0,12,59.0,1
held_out,0.0,13,59.666666666666664,3
held_out,0.0,14,74.5,2
held_out,0.0,15,62.5,2
held_out,0.0,16,88.0,1
held_out,0.0,17,80.0,2
held_out,0.0,18,66.0,1
held_out,1.0,0,96.875,8
held_out,1.0,1,176.1818181818182,11
held_out,1.0,2,188.0,8
held_out,1.0,3,88.16666666666667,6
held_out,1.0,4,103.9,10
held_out,1.0,5,100.0,5
held_out,1.0,6,85.66666666666667,3
held_out,1.0,7,78.0,4
held_out,1.0,8,58.0,1
held_out,1.0,9,359.0,2
held_out,1.0,10,193.0,1
held_out,1.0,11,220.0,1
held_out,1.0,12,305.0,1
train,0.0,0,110.34426229508196,61
train,0.0,1,113.04098360655738,61
train,0.0,2,274.14285714285717,7
train,0.0,3,201.46666666666667,15
train,0.0,4,66.86666666666666,15
train,0.0,5,69.13333333333334,15
train,0.0,6,72.14285714285714,14
train,0.0,7,68.95,20
train,0.0,8,74.84615384615384,13
train,0.0,9,68.13333333333334,15
train,0.0,10,66.5,18
train,0.0,11,69.4,5
train,0.0,12,66.5,8
train,0.0,13,67.6923076923077,13
train,0.0,14,74.42857142857143,7
train,0.0,15,53.5,4
train,0.0,16,78.83333333333333,6
train,0.0,17,73.75,8
train,0.0,18,61.666666666666664,3
train,0.0,19,67.0,2
train,0.0,22,53.0,1
train,1.0,0,102.85964912280701,57
train,1.0,1,102.77966101694915,59
train,1.0,2,115.29545454545455,22
train,1.0,3,101.83870967741936,31
train,1.0,4,124.21739130434783,23
train,1.0,5,153.04166666666666,36
train,1.0,6,146.59259259259258,27
train,1.0,7,132.09375,16
train,1.0,8,133.9,10
train,1.0,9,146.3125,16
train,1.0,10,154.94444444444446,9
train,1.0,11,142.625,8
train,1.0,12,143.71428571428572,7
train,1.0,13,112.16666666666667,6
train,1.0,14,117.5,4
train,1.0,15,65.0,1
train,1.0,16,57.333333333333336,3
train,1.0,17,59.0,2
train,1.0,18,47.0,1
tuning,0.0,0,63.1875,16
tuning,0.0,1,70.66666666666667,15
tuning,0.0,2,50.0,2
tuning,0.0,3,59.0,1
tuning,0.0,4,61.0,3
tuning,0.0,5,57.8,5
tuning,0.0,6,68.5,8
tuning,0.0,7,49.0,1
tuning,0.0,8,67.5,2
tuning,0.0,9,65.5,2
tuning,0.0,10,65.0,7
tuning,0.0,11,77.0,5
tuning,0.0,12,63.0,2
tuning,0.0,13,74.66666666666667,3
tuning,0.0,14,82.0,1
tuning,0.0,15,62.25,4
tuning,1.0,0,138.71428571428572,14
tuning,1.0,1,124.0,11
tuning,1.0,2,244.28571428571428,7
tuning,1.0,3,174.0,6
tuning,1.0,4,121.4,5
tuning,1.0,5,212.33333333333334,3
tuning,1.0,6,361.5,2
tuning,1.0,7,251.5,4
tuning,1.0,8,514.1666666666666,3
tuning,1.0,9,349.6666666666667,3
tuning,1.0,10,121.0,1
tuning,1.0,11,115.0,1
tuning,1.0,12,107.0,1
