day,outcome,daily_mean,patient_count
0,0.0,205.44565217391303,92
1,0.0,220.18947368421053,95
2,0.0,227.9,10
3,0.0,227.9375,16
4,0.0,231.75,24
5,0.0,252.88,25
6,0.0,266.5,26
7,0.0,293.9642857142857,28
8,0.0,252.78947368421052,19
9,0.0,294.04545454545456,22
10,0.0,291.96774193548384,31
11,0.0,246.83333333333334,18
12,0.0,254.27272727272728,11
13,0.0,281.6,20
14,0.0,241.66666666666666,12
15,0.0,235.30769230769232,13
16,0.0,226.22222222222223,9
17,0.0,210.0,11
18,0.0,225.8,5
19,0.0,190.5,2
20,0.0,299.0,1
22,0.0,161.0,1
0,1.0,159.54375,80
1,1.0,162.63291139240508,79
2,1.0,126.21212121212122,33
3,1.0,119.84615384615384,39
4,1.0,109.03846153846153,39
5,1.0,141.54545454545453,44
6,1.0,87.0,30
7,1.0,109.52173913043478,23
8,1.0,72.71875,16
9,1.0,103.30952380952381,21
10,1.0,63.9,10
11,1.0,76.66666666666667,9
12,1.0,44.857142857142854,7
13,1.0,74.25,8
14,1.0,101.5,4
15,1.0,212.0,1
16,1.0,146.0,3
17,1.0,66.25,2
18,1.0,287.0,1
