day,outcome,daily_mean,patient_count
0,0.0,1.2675280898876404,89
1,0.0,0.945,80
2,0.0,4.7325,8
3,0.0,3.873333333333333,6
4,0.0,4.6659999999999995,5
5,0.0,1.5783333333333334,6
6,0.0,0.7842857142857144,7
7,0.0,0.9145454545454546,11
8,0.0,0.4166666666666667,3
9,0.0,0.38625,8
10,0.0,0.6666666666666666,12
11,0.0,1.092,5
12,0.0,1.2833333333333334,3
13,0.0,0.865,10
14,0.0,0.5885714285714286,7
15,0.0,0.77,1
16,0.0,1.246,5
17,0.0,0.626,5
18,0.0,0.57,1
19,0.0,1.69,1
22,0.0,1.27,1
0,1.0,10.023098591549296,71
1,1.0,10.432567567567567,74
2,1.0,16.151935483870968,31
3,1.0,16.20560606060606,33
4,1.0,16.821379310344827,29
5,1.0,13.75037037037037,27
6,1.0,15.621052631578948,19
7,1.0,12.531538461538462,13
8,1.0,14.154545454545454,11
9,1.0,15.980666666666668,15
10,1.0,14.745,6
11,1.0,13.090000000000002,6
12,1.0,11.952,5
13,1.0,16.243333333333336,3
14,1.0,13.48,4
15,1.0,8.96,1
16,1.0,5.415000000000001,2
17,1.0,3.85,1
18,1.0,3.9,1
