split,outcome,day,daily_mean,patient_count
held_out,0.0,0,0.9878571428571429,14
held_out,0.0,1,1.6735714285714285,14
held_out,0.0,2,0.22,1
held_out,0.0,3,0.42,1
held_out,0.0,4,0.905,2
held_out,0.0,6,0.515,2
held_out,0.0,7,0.57,1
held_out,0.0,10,0.6,1
held_out,0.0,11,0.73,2
held_out,0.0,13,1.02,1
held_out,0.0,14,0.5,1
held_out,0.0,17,0.92,1
held_out,0.0,18,0.57,1
held_out,1.0,0,11.825000000000001,6
held_out,1.0,1,9.716,10
held_out,1.0,2,14.958333333333334,6
held_out,1.0,3,21.0,6
held_out,1.0,4,18.12625,8
held_out,1.0,5,14.905,4
held_out,1.0,6,11.98,2
held_out,1.0,8,11.625,2
held_out,1.0,9,2.54,1
held_out,1.0,10,10.57,1
held_out,1.0,12,12.81,1
train,0.0,0,1.3470491803278688,61
train,0.0,1,0.8355555555555555,54
train,0.0,2,6.2316666666666665,6
train,0.0,3,4.564,5
train,0.0,4,0.26,2
train,0.0,5,1.832,5
train,0.0,6,0.345,2
train,0.0,7,0.9366666666666666,9
train,0.0,8,0.43,2
train,0.0,9,0.3985714285714286,7
train,0.0,10,0.8442857142857143,7
train,0.0,11,1.405,2
train,0.0,12,1.99,1
train,0.0,13,0.8714285714285713,7
train,0.0,14,0.5980000000000001,5
train,0.0,15,0.77,1
train,0.0,16,1.246,5
train,0.0,17,0.5525,4
train,0.0,19,1.69,1
train,0.0,22,1.27,1
train,1.0,0,9.310980392156862,51
train,1.0,1,10.88017543859649,57
train,1.0,2,16.47,21
train,1.0,3,15.588695652173914,23
train,1.0,4,15.805625,16
train,1.0,5,13.121500000000001,20
train,1.0,6,15.74,16
train,1.0,7,11.513,10
train,1.0,8,17.03,5
train,1.0,9,16.799090909090907,11
train,1.0,10,15.580000000000002,5
train,1.0,11,14.485999999999999,5
train,1.0,12,14.933333333333332,3
train,1.0,13,16.243333333333336,3
train,1.0,14,13.48,4
train,1.0,15,8.96,1
train,1.0,16,5.415000000000001,2
train,1.0,17,3.85,1
train,1.0,18,3.9,1
tuning,0.0,0,1.2007142857142858,14
tuning,0.0,1,0.5875,12
tuning,0.0,2,0.25,1
tuning,0.0,4,21.0,1
tuning,0.0,5,0.31,1
tuning,0.0,6,1.2566666666666666,3
tuning,0.0,7,1.06,1
tuning,0.0,8,0.39,1
tuning,0.0,9,0.3,1
tuning,0.0,10,0.3725,4
tuning,0.0,11,1.19,1
tuning,0.0,12,0.93,2
tuning,0.0,13,0.765,2
tuning,0.0,14,0.63,1
tuning,1.0,0,11.845,14
tuning,1.0,1,7.811428571428571,7
tuning,1.0,2,16.2725,4
tuning,1.0,3,12.561250000000001,4
tuning,1.0,4,17.984,5
tuning,1.0,5,16.403333333333332,3
tuning,1.0,6,21.0,1
tuning,1.0,7,15.926666666666668,3
tuning,1.0,8,11.825,4
tuning,1.0,9,17.46,3
tuning,1.0,11,6.11,1
tuning,1.0,12,2.15,1
