split,day,daily_mean,subject_count
held_out,0,139.125,10
held_out,1,138.9,5
held_out,2,138.9,5
held_out,3,139.9,5
held_out,4,137.7,5
held_out,5,136.33333,3
held_out,6,137.2,5
held_out,7,137.8,5
held_out,8,138.3,5
held_out,9,139.4,5
held_out,10,137.4,5
held_out,11,137.0,3
held_out,12,139.0,1
held_out,13,140.0,1
held_out,16,137.5,1
held_out,18,138.0,2
held_out,19,138.0,1
held_out,20,142.0,1
held_out,21,137.0,1
held_out,25,135.0,1
held_out,26,133.0,1
held_out,27,139.0,1
held_out,28,139.0,1
held_out,29,142.0,1
held_out,30,140.5,1
held_out,31,140.0,1
held_out,32,145.0,1
held_out,38,141.0,1
held_out,39,139.0,1
held_out,40,137.0,1
held_out,54,142.0,1
held_out,381,137.33333,1
held_out,428,137.0,1
held_out,429,139.5,1
held_out,494,142.0,1
held_out,549,144.0,1
held_out,600,144.0,1
held_out,601,142.0,1
held_out,602,142.0,1
held_out,603,142.0,1
held_out,604,143.0,1
held_out,606,143.0,1
held_out,607,139.0,1
held_out,608,142.0,1
held_out,827,141.0,1
held_out,944,140.0,1
train,0,138.59477,70
train,1,138.40068,49
train,2,137.79546,44
train,3,138.57692,39
train,4,138.72974,37
train,5,138.91399,31
train,6,139.18452,28
train,7,138.44,25
train,8,139.0873,21
train,9,139.33334,17
train,10,139.22618,14
train,11,139.0,11
train,12,139.45454,11
train,13,138.31667,10
train,14,140.30952,7
train,15,139.38095,7
train,16,139.5,8
train,17,139.0,8
train,18,138.2,5
train,19,137.33333,6
train,20,136.08333,6
train,21,135.5,4
train,22,138.5,4
train,23,138.375,4
train,24,137.5,4
train,25,137.25,4
train,26,136.5,4
train,27,136.15,5
train,28,137.9,5
train,29,137.5,4
train,30,136.23334,5
train,31,133.5,5
train,32,136.16667,6
train,33,136.0,4
train,34,136.5,7
train,35,136.58333,6
train,36,134.75,4
train,37,135.125,4
train,38,133.66667,4
train,39,134.5,4
train,40,134.7,5
train,41,136.75,5
train,42,135.14285,2
train,43,134.6111,3
train,44,134.83333,3
train,45,136.1875,4
train,46,133.33334,2
train,47,133.16666,2
train,48,135.5,1
train,49,138.5,2
train,50,138.0,1
train,51,139.0,1
train,52,138.0,2
train,53,138.0,2
train,54,139.2,5
train,55,135.0,3
train,56,133.66667,3
train,57,136.0,3
train,58,137.0,3
train,59,135.66667,3
train,60,135.66667,3
train,61,137.0,3
train,62,137.66667,3
train,63,138.0,1
train,64,133.0,1
train,66,134.66667,3
train,69,136.0,1
train,70,137.0,1
train,71,137.5,2
train,72,133.0,2
train,73,138.0,1
train,76,137.0,1
train,77,140.0,1
train,78,137.25,2
train,79,138.16666,2
train,80,138.75,2
train,81,136.33333,3
train,82,137.5,2
train,83,137.5,3
train,84,136.33333,3
train,85,138.5,2
train,86,137.33333,3
train,87,140.5,1
train,88,142.0,1
train,89,140.0,1
train,90,133.75,4
