split,outcome,day,daily_mean,patient_count
held_out,0.0,0,128.26666666666668,15
held_out,0.0,1,120.63529411764706,17
held_out,0.0,2,141.0,1
held_out,0.0,3,121.0,1
held_out,0.0,4,126.5,4
held_out,0.0,5,143.5,2
held_out,0.0,6,123.5,6
held_out,0.0,7,132.66666666666666,6
held_out,0.0,8,119.0,2
held_out,0.0,9,120.66666666666667,3
held_out,0.0,10,124.0,4
held_out,0.0,11,114.33333333333333,3
held_out,0.0,12,131.0,1
held_out,0.0,13,115.66666666666667,3
held_out,0.0,14,120.0,2
held_out,0.0,15,136.0,2
held_out,0.0,16,126.0,2
held_out,0.0,17,129.33333333333334,3
held_out,0.0,18,125.0,1
held_out,1.0,0,127.625,8
held_out,1.0,1,126.62272727272726,11
held_out,1.0,2,123.10000000000001,9
held_out,1.0,3,129.2,5
held_out,1.0,4,125.1875,8
held_out,1.0,5,89.88,5
held_out,1.0,6,119.0,4
held_out,1.0,7,126.25,4
held_out,1.0,8,108.33333333333333,3
held_out,1.0,9,113.0,2
held_out,1.0,10,164.0,1
held_out,1.0,11,147.0,1
held_out,1.0,12,162.0,1
train,0.0,0,119.53888888888889,63
train,0.0,1,126.17016129032258,62
train,0.0,2,131.28571428571428,7
train,0.0,3,127.4346153846154,13
train,0.0,4,126.1875,16
train,0.0,5,122.72058823529412,17
train,0.0,6,123.71428571428571,14
train,0.0,7,126.71428571428571,21
train,0.0,8,127.13333333333334,15
train,0.0,9,130.1875,16
train,0.0,10,128.26315789473685,19
train,0.0,11,126.0,8
train,0.0,12,125.625,8
train,0.0,13,125.71428571428571,14
train,0.0,14,121.0,8
train,0.0,15,128.16666666666666,6
train,0.0,16,122.42857142857143,7
train,0.0,17,132.75,8
train,0.0,18,121.66666666666667,3
train,0.0,19,119.5,2
train,0.0,22,122.0,1
train,1.0,0,130.57627118644066,59
train,1.0,1,121.68983050847457,59
train,1.0,2,127.55555555555556,18
train,1.0,3,121.0,30
train,1.0,4,119.1923076923077,26
train,1.0,5,125.05263157894737,38
train,1.0,6,117.41666666666667,24
train,1.0,7,120.875,16
train,1.0,8,111.625,8
train,1.0,9,120.4375,16
train,1.0,10,111.0625,8
train,1.0,11,120.42857142857143,7
train,1.0,12,127.8,5
train,1.0,13,120.25,8
train,1.0,14,111.25,4
train,1.0,15,128.0,1
train,1.0,16,120.66666666666667,3
train,1.0,17,120.25,2
train,1.0,18,108.0,1
tuning,0.0,0,129.0,15
tuning,0.0,1,132.35294117647058,17
tuning,0.0,2,113.0,2
tuning,0.0,3,138.0,2
tuning,0.0,4,133.5,4
tuning,0.0,5,125.66666666666667,6
tuning,0.0,6,134.14285714285714,7
tuning,0.0,7,128.0,1
tuning,0.0,8,135.0,2
tuning,0.0,9,125.33333333333333,3
tuning,0.0,10,128.125,8
tuning,0.0,11,133.71428571428572,7
tuning,0.0,12,114.0,2
tuning,0.0,13,132.0,3
tuning,0.0,14,138.0,2
tuning,0.0,15,124.0,5
tuning,0.0,18,113.0,1
tuning,0.0,20,111.0,1
tuning,1.0,0,130.25,14
tuning,1.0,1,120.88888888888889,9
tuning,1.0,2,128.0,7
tuning,1.0,3,123.625,4
tuning,1.0,4,97.4,5
tuning,1.0,5,108.0,2
tuning,1.0,6,122.0,2
tuning,1.0,7,108.0,3
tuning,1.0,8,99.9,5
tuning,1.0,9,106.0,3
tuning,1.0,10,131.0,1
tuning,1.0,11,131.0,1
tuning,1.0,12,120.0,1
