day,outcome,daily_mean,patient_count
0,0.0,122.4725806451613,93
1,0.0,126.28489583333334,96
2,0.0,128.6,10
3,0.0,128.353125,16
4,0.0,127.45833333333333,24
5,0.0,125.09,25
6,0.0,126.37037037037037,27
7,0.0,128.03571428571428,28
8,0.0,127.10526315789474,19
9,0.0,128.22727272727272,22
10,0.0,127.6774193548387,31
11,0.0,127.05555555555556,18
12,0.0,124.0,11
13,0.0,125.15,20
14,0.0,123.66666666666667,12
15,0.0,127.76923076923077,13
16,0.0,123.22222222222223,9
17,0.0,131.8181818181818,11
18,0.0,120.6,5
19,0.0,119.5,2
20,0.0,111.0,1
22,0.0,122.0,1
0,1.0,130.2283950617284,81
1,1.0,122.28544303797467,79
2,1.0,126.46764705882352,34
3,1.0,122.32051282051282,39
4,1.0,117.62820512820512,39
5,1.0,120.38666666666666,45
6,1.0,117.93333333333334,30
7,1.0,120.1304347826087,23
8,1.0,107.34375,16
9,1.0,117.66666666666667,21
10,1.0,118.35,10
11,1.0,124.55555555555556,9
12,1.0,131.57142857142858,7
13,1.0,120.25,8
14,1.0,111.25,4
15,1.0,128.0,1
16,1.0,120.66666666666667,3
17,1.0,120.25,2
18,1.0,108.0,1
