split,outcome,day,daily_mean,patient_count
held_out,0.0,0,28.573333333333334,15
held_out,0.0,1,31.900000000000006,17
held_out,0.0,2,0.7,1
held_out,0.0,4,3.1666666666666665,3
held_out,0.0,5,8.4,1
held_out,0.0,6,8.175,4
held_out,0.0,7,8.88,5
held_out,0.0,8,0.4,2
held_out,0.0,9,1.5999999999999999,3
held_out,0.0,10,4.0,1
held_out,0.0,11,33.3,2
held_out,0.0,12,0.4,1
held_out,0.0,13,2.25,2
held_out,0.0,14,0.4,1
held_out,0.0,15,3.6,1
held_out,0.0,16,10.9,2
held_out,0.0,17,1.0,1
held_out,0.0,19,1.6,1
held_out,1.0,0,126.7875,8
held_out,1.0,1,124.9,11
held_out,1.0,2,191.24,5
held_out,1.0,3,120.88333333333334,6
held_out,1.0,4,158.70000000000002,7
held_out,1.0,5,129.95,2
held_out,1.0,6,120.1,2
held_out,1.0,7,112.6,1
held_out,1.0,8,163.9,1
held_out,1.0,9,275.85,2
held_out,1.0,10,58.0,1
held_out,1.0,11,41.3,1
train,0.0,0,36.06271186440678,59
train,0.0,1,44.82421875,64
train,0.0,2,60.82857142857143,7
train,0.0,3,21.525000000000002,12
train,0.0,4,51.34166666666667,12
train,0.0,5,10.309999999999999,10
train,0.0,6,27.969230769230766,13
train,0.0,7,13.085714285714287,14
train,0.0,8,7.318181818181818,11
train,0.0,9,0.7833333333333333,6
train,0.0,10,2.41,10
train,0.0,11,1.46,5
train,0.0,12,5.7,7
train,0.0,13,3.2624999999999997,8
train,0.0,14,1.9249999999999998,4
train,0.0,15,10.2,3
train,0.0,16,2.6666666666666665,3
train,0.0,17,1.0071428571428573,7
train,0.0,18,2.1,2
train,0.0,19,1.6,1
train,0.0,22,0.5,1
train,1.0,0,133.0653846153846,52
train,1.0,1,121.87368421052632,57
train,1.0,2,121.51764705882354,17
train,1.0,3,111.9375,24
train,1.0,4,119.25263157894737,19
train,1.0,5,132.5477272727273,22
train,1.0,6,111.86428571428571,14
train,1.0,7,178.05,8
train,1.0,8,139.9,7
train,1.0,9,169.7,13
train,1.0,10,158.325,4
train,1.0,11,187.92499999999998,4
train,1.0,12,95.75,4
train,1.0,13,105.57499999999999,4
train,1.0,14,181.13333333333333,3
train,1.0,15,12.6,1
train,1.0,16,19.8,1
train,1.0,17,74.9,2
train,1.0,18,157.3,1
tuning,0.0,0,30.0,15
tuning,0.0,1,28.526666666666667,15
tuning,0.0,2,10.35,2
tuning,0.0,3,8.1,2
tuning,0.0,4,81.4,1
tuning,0.0,5,20.466666666666665,3
tuning,0.0,6,5.466666666666666,3
tuning,0.0,8,1.8,2
tuning,0.0,9,6.35,2
tuning,0.0,10,1.4600000000000002,5
tuning,0.0,12,18.8,1
tuning,0.0,15,1.8399999999999999,5
tuning,1.0,0,123.23571428571428,14
tuning,1.0,1,138.37,10
tuning,1.0,2,222.85000000000002,2
tuning,1.0,3,139.25,3
tuning,1.0,4,87.8,4
tuning,1.0,5,86.75,2
tuning,1.0,7,199.525,4
tuning,1.0,8,149.5666666666667,3
tuning,1.0,9,93.5,3
