split,day,daily_mean,subject_count
held_out,0,62.69517,145
held_out,1,60.01,50
held_out,2,61.565624,64
held_out,3,63.93,50
held_out,4,63.215252,59
held_out,5,50.016666,54
held_out,6,56.039394,99
held_out,7,53.38,70
held_out,8,55.931248,48
held_out,9,64.902176,46
held_out,10,65.24062,32
held_out,11,69.925,32
held_out,12,81.73333,9
held_out,13,100.62222,9
held_out,16,79.02778,18
held_out,18,87.17222,18
held_out,19,84.58889,9
held_out,20,77.04445,9
held_out,21,60.390907,11
held_out,25,70.91852,27
held_out,26,67.97692,13
held_out,27,65.0,9
held_out,28,82.155556,9
held_out,29,81.85384,13
held_out,30,76.87222,18
held_out,31,73.87778,9
held_out,32,81.05556,9
held_out,38,61.84444,9
held_out,39,82.166664,3
held_out,40,50.879997,5
held_out,54,79.07778,9
held_out,381,59.766666,21
held_out,428,82.744446,9
held_out,429,76.78333,18
held_out,494,70.73333,9
held_out,549,56.02,5
held_out,600,75.97222,18
held_out,601,82.33077,13
held_out,602,68.344444,9
held_out,603,66.888885,9
held_out,604,68.255554,9
held_out,606,65.76667,9
held_out,607,69.36667,9
held_out,608,70.166664,9
held_out,826,1.1,1
held_out,827,73.51111,9
held_out,944,68.45555,9
train,0,58.37788,1302
train,1,55.49698,662
train,2,55.59399,599
train,3,57.35606,528
train,4,58.20464,388
train,5,59.153076,341
train,6,64.65197,304
train,7,63.519474,267
train,8,65.88618,246
train,9,68.251015,198
train,10,70.328,150
train,11,78.35137,109
train,12,76.66729,107
train,13,76.90261,115
train,14,75.34375,96
train,15,76.91091,110
train,16,71.34359,78
train,17,77.402435,82
train,18,81.866,50
train,19,74.50926,54
train,20,77.05523,67
train,21,79.03556,45
train,22,74.81944,36
train,23,73.57143,42
train,24,75.98139,43
train,25,83.23056,36
train,26,76.03529,51
train,27,72.37284,81
train,28,70.753845,78
train,29,81.09333,45
train,30,64.73733,75
train,31,64.70518,58
train,32,62.808334,60
train,33,56.0561,41
train,34,66.894806,77
train,35,69.01865,59
train,36,65.67805,41
train,37,67.08666,45
train,38,64.405174,58
train,39,81.5381,42
train,40,68.3381,84
train,41,69.26363,77
train,42,55.665173,89
train,43,44.56154,52
train,44,48.021313,61
train,45,46.80781,64
train,46,48.8451,51
train,47,41.706062,33
train,48,40.563637,22
train,49,44.973915,23
train,50,49.177776,9
train,51,40.54615,13
train,52,63.931576,19
train,53,58.37838,37
train,54,54.434696,49
train,55,56.655552,27
train,56,58.177418,31
train,57,69.114815,27
train,58,73.477776,27
train,59,69.225006,36
train,60,74.97037,27
train,61,82.63461,26
train,62,93.433334,27
train,63,133.96666,9
train,64,76.08889,9
train,66,94.521736,23
train,69,73.2,9
train,70,64.32223,9
train,71,99.62778,18
train,72,54.876472,17
train,73,66.477776,9
train,76,90.92222,9
train,77,83.39286,14
train,78,66.28889,27
train,79,56.947224,36
train,80,53.851852,27
train,81,55.45625,32
train,82,57.15556,18
train,83,62.777504,40
train,84,57.130436,23
train,85,59.37778,18
train,86,58.009377,32
train,87,58.36667,12
train,88,47.044445,9
train,89,48.088886,9
train,90,58.25278,36
train,91,54.36842,19
train,92,63.214817,27
train,93,58.416668,18
train,94,56.377777,18
train,95,55.733334,45
train,96,60.792595,27
train,97,52.46111,18
train,98,51.710526,19
train,99,51.38696,23
train,100,58.566666,18
train,101,61.17143,28
train,102,67.17777,9
train,103,51.24,5
train,104,66.68889,18
train,105,48.72,5
train,106,69.913635,22
train,107,76.74444,9
train,108,74.12222,9
