day,outcome,daily_mean,patient_count
0,0.0,272.7282608695652,92
1,0.0,269.26881720430106,93
2,0.0,276.3,10
3,0.0,285.875,16
4,0.0,276.45454545454544,22
5,0.0,237.79166666666666,24
6,0.0,277.44827586206895,29
7,0.0,232.77777777777777,27
8,0.0,232.11111111111111,18
9,0.0,204.94736842105263,19
10,0.0,222.3,30
11,0.0,200.66666666666666,15
12,0.0,216.0,12
13,0.0,209.95,20
14,0.0,191.3,10
15,0.0,190.4,10
16,0.0,219.75,8
17,0.0,181.9,10
18,0.0,177.0,4
19,0.0,186.5,2
22,0.0,193.0,1
0,1.0,670.7848101265823,79
1,1.0,627.1392405063291,79
2,1.0,774.3125,32
3,1.0,710.1341463414634,41
4,1.0,774.4868421052631,38
5,1.0,735.546511627907,43
6,1.0,775.1833333333333,30
7,1.0,664.9090909090909,22
8,1.0,870.5666666666667,15
9,1.0,770.3809523809524,21
10,1.0,548.0,9
11,1.0,620.95,10
12,1.0,817.0,10
13,1.0,661.1666666666666,6
14,1.0,722.5,4
15,1.0,584.0,1
16,1.0,632.0,3
17,1.0,570.0,2
18,1.0,417.0,1
