day,outcome,daily_mean,patient_count
0,0.0,94.94565217391305,92
1,0.0,96.44623655913979,93
2,0.0,210.2,10
3,0.0,192.5625,16
4,0.0,66.25,20
5,0.0,66.45454545454545,22
6,0.0,68.35714285714286,28
7,0.0,70.0,26
8,0.0,72.47058823529412,17
9,0.0,67.9,20
10,0.0,65.06896551724138,29
11,0.0,70.84615384615384,13
12,0.0,65.18181818181819,11
13,0.0,67.52631578947368,19
14,0.0,75.2,10
15,0.0,58.8,10
16,0.0,80.14285714285714,7
17,0.0,75.0,10
18,0.0,62.75,4
19,0.0,67.0,2
22,0.0,53.0,1
0,1.0,108.60759493670886,79
1,1.0,115.62962962962963,81
2,1.0,155.4189189189189,37
3,1.0,110.0,43
4,1.0,118.5,38
5,1.0,151.0568181818182,44
6,1.0,154.3125,32
7,1.0,142.97916666666666,24
8,1.0,209.96428571428572,14
9,1.0,195.61904761904762,21
10,1.0,155.3181818181818,11
11,1.0,147.6,10
12,1.0,157.55555555555554,9
13,1.0,112.16666666666667,6
14,1.0,117.5,4
15,1.0,65.0,1
16,1.0,57.333333333333336,3
17,1.0,59.0,2
18,1.0,47.0,1
