day,outcome,daily_mean,patient_count
0,0.0,138.84505494505495,91
1,0.0,138.73510638297873,94
2,0.0,139.05,10
3,0.0,137.96666666666667,15
4,0.0,139.26250000000002,24
5,0.0,139.04347826086956,23
6,0.0,140.44137931034484,29
7,0.0,140.6074074074074,27
8,0.0,140.23333333333332,18
9,0.0,139.31,20
10,0.0,139.66206896551722,29
11,0.0,139.8125,16
12,0.0,139.1909090909091,11
13,0.0,139.90526315789472,19
14,0.0,140.13,10
15,0.0,138.19,10
16,0.0,141.3125,8
17,0.0,140.57,10
18,0.0,140.25,4
19,0.0,142.0,2
22,0.0,142.1,1
0,1.0,139.42115384615386,78
1,1.0,140.08481012658228,79
2,1.0,143.63139534883723,43
3,1.0,145.29021739130437,46
4,1.0,147.27162162162162,37
5,1.0,146.1191489361702,47
6,1.0,146.6609375,32
7,1.0,143.11041666666668,24
8,1.0,144.85882352941175,17
9,1.0,141.94772727272726,22
10,1.0,144.27083333333334,12
11,1.0,146.465,10
12,1.0,147.01500000000001,10
13,1.0,145.7875,8
14,1.0,139.2,4
15,1.0,144.7,1
16,1.0,141.96666666666667,3
17,1.0,147.425,2
18,1.0,137.1,1
