split,outcome,day,daily_mean,patient_count
held_out,0.0,0,139.54,15
held_out,0.0,1,138.14705882352942,17
held_out,0.0,2,140.9,1
held_out,0.0,4,139.95,4
held_out,0.0,5,141.55,2
held_out,0.0,6,141.44285714285715,7
held_out,0.0,7,141.88,5
held_out,0.0,8,141.8,2
held_out,0.0,9,138.5666666666667,3
held_out,0.0,10,142.05,4
held_out,0.0,11,138.70000000000002,3
held_out,0.0,12,138.2,1
held_out,0.0,13,141.83333333333334,3
held_out,0.0,14,143.6,1
held_out,0.0,15,139.85000000000002,2
held_out,0.0,16,140.0,1
held_out,0.0,17,141.95,2
held_out,0.0,18,143.3,1
held_out,1.0,0,138.0625,8
held_out,1.0,1,139.1909090909091,11
held_out,1.0,2,139.85555555555555,9
held_out,1.0,3,147.4,7
held_out,1.0,4,144.57999999999998,10
held_out,1.0,5,148.5,5
held_out,1.0,6,138.76666666666668,3
held_out,1.0,7,144.55,4
held_out,1.0,8,133.35000000000002,2
held_out,1.0,9,146.3,2
held_out,1.0,10,141.5,1
held_out,1.0,11,144.1,1
held_out,1.0,12,149.4,1
train,0.0,0,138.44833333333332,60
train,0.0,1,138.74193548387098,62
train,0.0,2,138.18571428571428,7
train,0.0,3,137.72857142857143,14
train,0.0,4,139.53529411764706,17
train,0.0,5,138.94375,16
train,0.0,6,139.85714285714286,14
train,0.0,7,140.17619047619047,21
train,0.0,8,139.72857142857143,14
train,0.0,9,138.94285714285715,14
train,0.0,10,138.92777777777778,18
train,0.0,11,139.8875,8
train,0.0,12,138.8875,8
train,0.0,13,139.7153846153846,13
train,0.0,14,140.175,8
train,0.0,15,138.625,4
train,0.0,16,141.5,7
train,0.0,17,140.225,8
train,0.0,18,139.23333333333332,3
train,0.0,19,142.0,2
train,0.0,22,142.1,1
train,1.0,0,139.61785714285713,56
train,1.0,1,140.2913793103448,58
train,1.0,2,144.18703703703704,27
train,1.0,3,143.38030303030303,33
train,1.0,4,148.45227272727274,22
train,1.0,5,145.79743589743592,39
train,1.0,6,147.25,27
train,1.0,7,141.384375,16
train,1.0,8,146.2,10
train,1.0,9,142.08235294117648,17
train,1.0,10,145.23499999999999,10
train,1.0,11,147.15625,8
train,1.0,12,147.36875,8
train,1.0,13,145.7875,8
train,1.0,14,139.2,4
train,1.0,15,144.7,1
train,1.0,16,141.96666666666667,3
train,1.0,17,147.425,2
train,1.0,18,137.1,1
tuning,0.0,0,139.68125,16
tuning,0.0,1,139.37333333333333,15
tuning,0.0,2,141.14999999999998,2
tuning,0.0,3,141.3,1
tuning,0.0,4,136.79999999999998,3
tuning,0.0,5,138.35999999999999,5
tuning,0.0,6,140.5875,8
tuning,0.0,7,143.3,1
tuning,0.0,8,142.2,2
tuning,0.0,9,141.76666666666668,3
tuning,0.0,10,140.18571428571428,7
tuning,0.0,11,140.35999999999999,5
tuning,0.0,12,140.89999999999998,2
tuning,0.0,13,138.79999999999998,3
tuning,0.0,14,136.3,1
tuning,0.0,15,136.925,4
tuning,1.0,0,139.41071428571428,14
tuning,1.0,1,139.87,10
tuning,1.0,2,146.34285714285716,7
tuning,1.0,3,153.33333333333334,6
tuning,1.0,4,147.45999999999998,5
tuning,1.0,5,146.33333333333334,3
tuning,1.0,6,150.55,2
tuning,1.0,7,148.575,4
tuning,1.0,8,146.78,5
tuning,1.0,9,138.28333333333333,3
tuning,1.0,10,137.4,1
tuning,1.0,11,143.3,1
tuning,1.0,12,141.8,1
