day,outcome,daily_mean,patient_count
0,0.0,33.778651685393264,89
1,0.0,39.9890625,96
2,0.0,44.72,10
3,0.0,19.607142857142858,14
4,0.0,44.1875,16
5,0.0,12.35,14
6,0.0,20.634999999999998,20
7,0.0,11.978947368421053,19
8,0.0,5.659999999999999,15
9,0.0,2.018181818181818,11
10,0.0,2.2125,16
11,0.0,10.557142857142855,7
12,0.0,6.566666666666666,9
13,0.0,3.0599999999999996,10
14,0.0,1.6199999999999999,5
15,0.0,4.822222222222222,9
16,0.0,5.959999999999999,5
17,0.0,1.00625,8
18,0.0,2.1,2
19,0.0,1.6,2
22,0.0,0.5,1
0,1.0,130.52702702702703,74
1,1.0,124.41538461538461,78
2,1.0,144.48749999999998,24
3,1.0,116.0469696969697,33
4,1.0,124.26333333333334,30
5,1.0,128.825,26
6,1.0,112.89375,16
7,1.0,179.62307692307692,13
8,1.0,144.71818181818182,11
9,1.0,168.79444444444445,18
10,1.0,138.26,5
11,1.0,158.6,5
12,1.0,95.75,4
13,1.0,105.57499999999999,4
14,1.0,181.13333333333333,3
15,1.0,12.6,1
16,1.0,19.8,1
17,1.0,74.9,2
18,1.0,157.3,1
